A (Pa),B (dimensionless),p half (Pa),half level,p full (Pa),full level
1.71794645241548E+04,3.51499545721629E-02,2.06944599813711E+04,48.5,21377.41,48
1.65077172105776E+04,2.88181569343803E-02,1.93895329040156E+04,49.5,20038.46,49
1.58113398251101E+04,2.34025304520536E-02,1.81515928703155E+04,50.5,18767.16,50
1.50984441846141E+04,1.88057511341314E-02,1.69790192980272E+04,51.5,17562.04,51
1.43763647529064E+04,1.49357370648969E-02,1.58699384593961E+04,52.5,16421.36,52
1.36516396355225E+04,1.17062317737897E-02,1.48222628129015E+04,53.5,15343.12,53
1.29300098824532E+04,9.03719362012052E-03,1.38337292444653E+04,54.5,14325.15,54
1.22164348352140E+04,6.85500936597729E-03,1.29019357718117E+04,55.5,13365.13,55
1.15151211086030E+04,5.09255250661131E-03,1.20243763592641E+04,56.5,12460.58,56
1.08295627574817E+04,3.68910825996248E-03,1.11984735834779E+04,57.5,11608.98,57
1.01625902306937E+04,2.59018749799379E-03,1.04216089804931E+04,58.5,10807.71,58
9.51642584110599E+03,1.74725147298966E-03,9.69115098840496E+03,59.5,10054.17,59
8.89274366467120E+03,1.11736810979251E-03,9.00448047565045E+03,60.5,9345.71,60
8.29273200395698E+03,6.62819064436207E-04,8.35901391040060E+03,61.5,8679.75,61
7.71715679490758E+03,3.50674852621987E-04,7.75222428016978E+03,62.5,8053.71,62
7.16642458295615E+03,1.52353280156357E-04,7.18165991097179E+03,63.5,7465.12,63
6.64064393089613E+03,4.31742990920429E-05,6.64496136080533E+03,64.5,6911.57,64
6.13968433295405E+03,1.92238660659313E-06,6.13987657161471E+03,65.5,6390.76,65
5.66427445587516E+03,0.00000000000000E+00,5.66427445587516E+03,66.5,5900.48,66
5.21615706738968E+03,0.00000000000000E+00,5.21615706738968E+03,67.5,5438.68,67
4.79367045972906E+03,0.00000000000000E+00,4.79367045972906E+03,68.5,5003.43,68
4.39511426936575E+03,0.00000000000000E+00,4.39511426936575E+03,69.5,4592.95,69
4.01894997405415E+03,0.00000000000000E+00,4.01894997405415E+03,70.5,4205.63,70
3.66380767175041E+03,0.00000000000000E+00,3.66380767175041E+03,71.5,3840.01,71
3.32849110461126E+03,0.00000000000000E+00,3.32849110461126E+03,72.5,3494.81,72
3.01198052234190E+03,0.00000000000000E+00,3.01198052234190E+03,73.5,3168.92,73
2.71343284894173E+03,0.00000000000000E+00,2.71343284894173E+03,74.5,2861.41,74
2.43217850068518E+03,0.00000000000000E+00,2.43217850068518E+03,75.5,2571.52,75
2.16771411986701E+03,0.00000000000000E+00,2.16771411986701E+03,76.5,2298.68,76
1.91969046221818E+03,0.00000000000000E+00,1.91969046221818E+03,77.5,2042.45,77
1.68789473358617E+03,0.00000000000000E+00,1.68789473358617E+03,78.5,1802.55,78
1.47222684248365E+03,0.00000000000000E+00,1.47222684248365E+03,79.5,1578.83,79
1.27266934551692E+03,0.00000000000000E+00,1.27266934551692E+03,80.5,1371.24,80
1.08925132929818E+03,0.00000000000000E+00,1.08925132929818E+03,81.5,1179.77,81
9.22007094507183E+02,0.00000000000000E+00,9.22007094507183E+02,82.5,1004.47,82
7.70931257919773E+02,0.00000000000000E+00,7.70931257919773E+02,83.5,845.34,83
6.35932704095892E+02,0.00000000000000E+00,6.35932704095892E+02,84.5,702.35,84
5.16790597980399E+02,0.00000000000000E+00,5.16790597980399E+02,85.5,575.33,85
4.13116273736552E+02,0.00000000000000E+00,4.13116273736552E+02,86.5,463.99,86
3.24325080743702E+02,0.00000000000000E+00,3.24325080743702E+02,87.5,367.83,87
2.49622034667881E+02,0.00000000000000E+00,2.49622034667881E+02,88.5,286.16,88
1.88004271574096E+02,0.00000000000000E+00,1.88004271574096E+02,89.5,218.09,89
1.38281806013940E+02,0.00000000000000E+00,1.38281806013940E+02,90.5,162.51,90
9.91160499134695E+01,0.00000000000000E+00,9.91160499134695E+01,91.5,118.16,91
6.90732101617709E+01,0.00000000000000E+00,6.90732101617709E+01,92.5,83.64,92
4.66874387295308E+01,0.00000000000000E+00,4.66874387295308E+01,93.5,57.52,93
3.05269244112852E+01,0.00000000000000E+00,3.05269244112852E+01,94.5,38.32,94
1.92554217446999E+01,0.00000000000000E+00,1.92554217446999E+01,95.5,24.68,95
1.16822796663948E+01,0.00000000000000E+00,1.16822796663948E+01,96.5,15.31,96
6.79585510522008E+00,0.00000000000000E+00,6.79585510522008E+00,97.5,9.13,97
3.77794973185743E+00,0.00000000000000E+00,3.77794973185743E+00,98.5,5.21,98
2.00000000000000E+00,0.00000000000000E+00,2.00000000000000E+00,99.5,2.84,99
0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,100.5,1.00,100
